Client Name,Count of PRIMARY_FAC_ID,Facility Name,Emission Amount(In Tons),Facility Type,Latitude,Longitude
RANGE RESOURCES APPALACHIA LLC,1,PAREES UNIT 1H,302.25051,GasWell,40.391622,-80.2976
RANGE RESOURCES APPALACHIA LLC,1,KRESIC UNIT 1H,308.46484,GasWell,40.392106,-80.325794
RANGE RESOURCES APPALACHIA LLC,1,HARMON CREEK 'A' UNIT 2H,275.41654,GasWell,40.392183,-80.403958
APEX ENERGY (PA) LLC,1,STEWART CENTRAL PAD-21 8H,434.71319,GasWell,40.394911,-79.592467
APEX ENERGY (PA) LLC,1,STEWART CENTRAL PAD-21 9H,1724.99323,GasWell,40.394928,-79.5924
APEX ENERGY (PA) LLC,1,STEWART CENTRAL PAD-21 10H,1753.0593,GasWell,40.394941,-79.592349
"OLYMPUS ENERGY, LLC",1,POSEIDON 8M,2539.68553,GasWell,40.396167,-79.668722
APEX ENERGY (PA) LLC,1,QUEST REALTY CENTRAL PAD 7 9H,489.42852,GasWell,40.399939,-79.604453
APEX ENERGY (PA) LLC,1,QUEST REALTY CENTRAL PAD 7 10H,445.44249,GasWell,40.399994,-79.604453
XPR RESOURCES LLC,1,CORBETT SOUTH 1-4H,547.18153,GasWell,40.400962,-79.276007
DIVERSIFIED PROD LLC,1,MCCANN 1-M,7.30091,GasWell,40.403318,-78.874884
RANGE RESOURCES APPALACHIA LLC,1,BARE WARREN UNIT 14H,117.37648,GasWell,40.403647,-80.37645
RANGE RESOURCES APPALACHIA LLC,1,HARMON CREEK D UNIT 19H,354.73236,GasWell,40.405481,-80.390011
RANGE RESOURCES APPALACHIA LLC,1,KENDALL UNIT 1H,1095.00915,GasWell,40.4058,-80.326647
RANGE RESOURCES APPALACHIA LLC,1,MOORE RICHARD UNIT 10H,331.79402,GasWell,40.407475,-80.363
